Domain,HTML_contains_forms,HTML_contains_obfuscated_scripts,HTML_contains_suspicious_keywords,HTML_body_length,HTML_num_titles,HTML_num_images,HTML_num_links,HTML_script_length,HTML_special_characters,HTML_script_to_special_chars_ratio,HTML_script_to_body_ratio,HTML_body_to_special_char_ratio,HTML_iframe_redirection,HTML_mouse_over_effect,HTML_right_click_disabled,HTML_num_scripts_http,HTML_num_styles_http,HTML_num_iframes_http,HTML_num_external_scripts,HTML_num_external_styles,HTML_num_external_iframes,HTML_num_meta_tags,HTML_num_forms,HTML_num_forms_post,HTML_num_forms_get,HTML_num_forms_external_action,HTML_num_hidden_elements,HTML_num_safe_anchors,HTML_num_media_http,HTML_num_media_external,HTML_num_email_forms,HTML_num_internal_links,HTTP_redirects,HTTP_redirect_count,HTTP_contains_forms,HTTP_contains_obfuscated_scripts,HTTP_contains_suspicious_keywords,HTTP_uses_https,HTTP_missing_x_frame_options,HTTP_missing_x_xss_protection,HTTP_missing_content_security_policy,HTTP_missing_strict_transport_security,HTTP_missing_x_content_type_options,HTTP_is_live,HTTP_body_length,HTTP_num_titles,HTTP_num_images,HTTP_num_links,HTTP_script_length,HTTP_special_characters,HTTP_script_to_special_chars_ratio,HTTP_script_to_body_ratio,HTTP_body_to_special_char_ratio,LEXICAL_count_dot_url,LEXICAL_count_dash_url,LEXICAL_count_underscore_url,LEXICAL_count_slash_url,LEXICAL_count_question_url,LEXICAL_count_equals_url,LEXICAL_count_at_url,LEXICAL_count_ampersand_url,LEXICAL_count_exclamation_url,LEXICAL_count_space_url,LEXICAL_count_tilde_url,LEXICAL_count_comma_url,LEXICAL_count_plus_url,LEXICAL_count_asterisk_url,LEXICAL_count_hash_url,LEXICAL_count_dollar_url,LEXICAL_count_percent_url,LEXICAL_url_length,LEXICAL_tld_amount_url,LEXICAL_count_dot_domain,LEXICAL_count_dash_domain,LEXICAL_count_underscore_domain,LEXICAL_count_slash_domain,LEXICAL_count_question_domain,LEXICAL_count_equals_domain,LEXICAL_count_at_domain,LEXICAL_count_ampersand_domain,LEXICAL_count_exclamation_domain,LEXICAL_count_space_domain,LEXICAL_count_tilde_domain,LEXICAL_count_comma_domain,LEXICAL_count_plus_domain,LEXICAL_count_asterisk_domain,LEXICAL_count_hash_domain,LEXICAL_count_dollar_domain,LEXICAL_count_percent_domain,LEXICAL_domain_length,LEXICAL_vowel_count_domain,LEXICAL_domain_in_ip_format,LEXICAL_domain_contains_keywords,LEXICAL_count_dot_directory,LEXICAL_count_dash_directory,LEXICAL_count_underscore_directory,LEXICAL_count_slash_directory,LEXICAL_count_question_directory,LEXICAL_count_equals_directory,LEXICAL_count_at_directory,LEXICAL_count_ampersand_directory,LEXICAL_count_exclamation_directory,LEXICAL_count_space_directory,LEXICAL_count_tilde_directory,LEXICAL_count_comma_directory,LEXICAL_count_plus_directory,LEXICAL_count_asterisk_directory,LEXICAL_count_hash_directory,LEXICAL_count_dollar_directory,LEXICAL_count_percent_directory,LEXICAL_directory_length,LEXICAL_count_dot_parameters,LEXICAL_count_dash_parameters,LEXICAL_count_underscore_parameters,LEXICAL_count_slash_parameters,LEXICAL_count_question_parameters,LEXICAL_count_equals_parameters,LEXICAL_count_at_parameters,LEXICAL_count_ampersand_parameters,LEXICAL_count_exclamation_parameters,LEXICAL_count_space_parameters,LEXICAL_count_tilde_parameters,LEXICAL_count_comma_parameters,LEXICAL_count_plus_parameters,LEXICAL_count_asterisk_parameters,LEXICAL_count_hash_parameters,LEXICAL_count_dollar_parameters,LEXICAL_count_percent_parameters,LEXICAL_parameters_length,LEXICAL_tld_presence_in_arguments,LEXICAL_number_of_parameters,LEXICAL_email_present_in_url,LEXICAL_domain_entropy,LEXICAL_url_depth,LEXICAL_is_ip,is_phish
sourceforge.net,1,0,1,10125,9,22,164,25,257,0.09727626459143969,0.0024691358024691358,39.39688715953307,1,0,1,0,0,0,6,4,0,5,3,1,2,0,2,149,0,22,0,7,0,0,1,0,1,1,0,1,0,0,0,1,10125,9,22,164,25,257,0.09727626459143969,0.0024691358024691358,39.39688715953307,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.323231428797621,0,0,0
indianexpress.com,0,0,0,216,1,0,0,0,22,0.0,0.0,9.818181818181818,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,216,1,0,0,0,22,0.0,0.0,9.818181818181818,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6168746059562222,0,0,0
temu.com,0,0,0,384,0,0,0,24,305,0.07868852459016394,0.0625,1.259016393442623,1,0,1,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,384,0,0,0,24,305,0.07868852459016394,0.0625,1.259016393442623,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8553885422075336,1,0,0
indeed.com,1,0,0,399,2,2,12,2,6,0.3333333333333333,0.005012531328320802,66.5,1,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,2,0,0,0,0,1,0,1,1,0,1,1,1,1,0,399,2,2,12,2,6,0.3333333333333333,0.005012531328320802,66.5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9219280948873623,0,0,0
messenger.com,1,0,0,881,3,5,42,17,62,0.27419354838709675,0.019296254256526674,14.209677419354838,1,0,1,0,0,0,1,5,0,21,1,1,0,0,0,36,0,5,0,35,1,1,1,0,1,1,0,0,0,0,0,1,881,3,5,42,17,62,0.27419354838709675,0.019296254256526674,14.209677419354838,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.175123135113461,0,0,0
zoom.us,0,0,0,100,0,0,0,9,1,9.0,0.09,100.0,0,0,1,0,0,0,5,2,1,27,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,100,0,0,0,9,1,9.0,0.09,100.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4591479170272446,0,0,0
accuweather.com,1,0,1,6014,19,33,161,27,120,0.225,0.004489524442966412,50.11666666666667,1,0,1,0,0,0,7,4,0,34,1,0,1,0,1,120,0,3,0,35,1,1,1,0,1,1,1,1,1,0,1,1,6014,19,33,161,27,120,0.225,0.004489524442966412,50.11666666666667,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2608281712244556,0,0,0
qq.com,0,0,0,1746,0,16,150,12,110,0.10909090909090909,0.006872852233676976,15.872727272727273,0,0,1,0,0,0,8,1,2,13,0,0,0,0,0,0,0,16,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1746,0,16,150,12,110,0.10909090909090909,0.006872852233676976,15.872727272727273,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4464393446710155,0,0,0
espn.com,0,0,1,7956,54,100,185,27,216,0.125,0.003393665158371041,36.833333333333336,1,0,1,0,0,0,5,3,0,25,0,0,0,0,0,141,0,74,0,51,1,1,0,0,1,1,1,1,0,1,1,1,7956,54,100,185,27,216,0.125,0.003393665158371041,36.833333333333336,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0220552088742005,0,0,0
onlyfans.com,0,0,0,156,0,0,0,59,4,14.75,0.3782051282051282,39.0,1,0,1,0,0,0,58,1,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,156,0,0,0,59,4,14.75,0.3782051282051282,39.0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2516291673878226,0,0,0
